	Gene stable ID	Gene name
764	ENSG00000283262	RF00026
765	ENSG00000265617	MIR548AG2
766	ENSG00000283969	MIR6838
767	ENSG00000277891	RF00026
768	ENSG00000201164	RNU4-36P
769	ENSG00000221697	MIR1275
770	ENSG00000278770	RF00017
771	ENSG00000274932	MIR7150
772	ENSG00000251904	RNA5SP272
773	ENSG00000207734	MIR517A
774	ENSG00000266419	SNORD117
775	ENSG00000212160	RNU6-205P
776	ENSG00000275724	AC012314.18
777	ENSG00000244335	RN7SL687P
778	ENSG00000264792	MIR4637
779	ENSG00000277249	MIR6784
780	ENSG00000264922	MIR4540
781	ENSG00000252420	RF00019
782	ENSG00000284175	MIR4763
783	ENSG00000200860	RF00019
784	ENSG00000200608	SNORD114-11
785	ENSG00000207444	SNORD56B
786	ENSG00000207990	MIR182
787	ENSG00000207020	RF00019
788	ENSG00000207692	MIR592
789	ENSG00000274452	RF00004
790	ENSG00000201763	RNA5SP267
791	ENSG00000273961	RF02137
792	ENSG00000201955	RNY3P1
793	ENSG00000207569	MIR433
794	ENSG00000212324	RNU6-129P
795	ENSG00000199410	RF00019
796	ENSG00000200842	RF00019
797	ENSG00000258045	RF00017
798	ENSG00000207008	SNORA54
799	ENSG00000206843	RNU6-206P
800	ENSG00000199550	RF00019
801	ENSG00000263712	MIR4639
802	ENSG00000265014	MIR3160-1
803	ENSG00000212182	RF00012
804	ENSG00000199801	RF00019
805	ENSG00000252636	RNU6-826P
806	ENSG00000283313	RF00026
807	ENSG00000207490	RNU6-987P
808	ENSG00000284085	MIR4732
809	ENSG00000263511	MIR5699
810	ENSG00000200893	RNU6-944P
811	ENSG00000207082	RNU6-171P
812	ENSG00000199130	MIR365A
813	ENSG00000264698	MIR4255
814	ENSG00000207118	SNORD14D
815	ENSG00000252370	RNA5SP438
816	ENSG00000273929	RF00026
